Model,Mean F1,Std,Stability,Avg Rank,CI Low,CI High
MLP,0.9880000000000001,0.004472135954999584,0.9955278640450004,2.1,0.984,0.99
MDCNN,0.9880000000000001,0.004472135954999584,0.9955278640450004,2.1,0.984,0.99
NN,0.9880000000000001,0.004472135954999584,0.9955278640450004,2.1,0.984,0.99
LeNet,0.9800000000000001,0.007071067811865481,0.9929289321881345,5.1,0.974,0.986
CNN,0.978,0.004472135954999583,0.9955278640450004,5.8,0.9739999999999999,0.9800000000000001
DistilGPT2,0.9719999999999999,0.008366600265340762,0.9916333997346592,7.1,0.9659999999999999,0.978
LSTM,0.97,0.01732050807568879,0.9826794919243113,7.3,0.954,0.9800000000000001
Transformer,0.97,0.012247448713915901,0.9877525512860841,7.5,0.96,0.978
BERT,0.968,0.010954451150103331,0.9890455488498967,7.9,0.958,0.9759999999999998
RNN,0.966,0.015165750888103114,0.9848342491118969,8.0,0.9540000000000001,0.978
