Feature,Contribution
Pattern_10,-1.8090919495842086
Pattern_4,-0.6823608183025831
Pattern_2,-0.599346115948314
IO_Operations,-0.2181613898038435
State_Transition,-0.09417397045600538
Process_Operations,-0.08580669761367365
Remote_IPs_Access,0.0
Network_Operations,0.0
Root_DIR_Access,0.0
Home_DIR_Access,0.0
Total_Dependencies,0.0
Security_Operations,0.0
Pattern_9,0.019896479736643095
Pattern_6,0.053011272723285284
Pattern_5,0.16550343109935509
File_Operations,0.2545649062711485
Read_Processes,1.3383432593399491
